Property_type,Description,Location,Price,Features
Lote y casalote en venta,Lote 100% Plan En Espectacular Condominio Ruitoque Parkhouse (a 8 Min Del Tiger En La Autopista De Floridablanca),"2vhg+wh Girón, Santander, Colombia, Girón, Santander",438000000 pesos,['348 m² totales']
Finca en venta,Finca Zapatoca Cafe Citricos Via A La Fuente A 12 Km Pueblo,"Via A La Fuente 12 Km Del Pueblo 3014052546, Zapatoca, Santander",255000000 pesos,"['450 m² cubiertos', '4 habs.']"
Finca en venta,"Finca 7 Hectáreas, Maderable Y Productiva En El Km 22","Bucaramanga  Vía Cúcuta Km 22, Tona, Santander",2700 pesos,"['120 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Centro,"Centro, Bucaramanga, Santander",210000000 pesos,"['87 m² cubiertos', '3 habs.']"
Lote y casalote en venta,Lotes En Condominio Mirador Del Lago Bucaramanga,"Mesa De Los Santos, Bucaramanga, Santander",144000000 pesos,"['1,486 m² totales']"
Casa en venta,Casa En Venta En Girón El Consuelo,"Girón, Santander",155000000 pesos,"['108 m² cubiertos', '5 habs.']"
Casa en venta,Casas En Venta Pan De Azucar 815-2343,"Pan De Azucar, Pan De Azúcar, Bucaramanga, Santander",1250000000 pesos,"['250 m² cubiertos', '4 habs.']"
Hotel y resort en venta,Se Vende Hotel En Barichara Santander,"Barichara 0, Barichara, Santander",2500000000 pesos,"['2,300 m² cubiertos']"
Lote y casalote en venta,Lote En La Mesa De Ruitoque Bucaramanga Vecino Al Country Club,"Mesa De Ruitoque, Bucaramanga, Santander",7220000000 pesos,"['28,875 m² totales']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Altos De Cabecera,"Cabecera Del Llano, Bucaramanga, Santander",345000000 pesos,"['107 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Garcia Rovira,"García Rovira, Bucaramanga, Santander",180000000 pesos,"['75 m² cubiertos', '2 habs.']"
Casa en venta,"Hermosa Casa Diamante 2 , Tres Pisos,6 Habitaciones","Transversal 24 Sn, Diamante Ii, Bucaramanga, Santander",580000000 pesos,"['250 m² cubiertos', '6 habs.']"
Apartamento en venta,Apartamento En Venta San Gil 815-2306,"San Gil, San Gil, Santander",164910928 pesos,"['114 m² cubiertos', '4 habs.']"
Casa en venta,Se Vende O Permuta Casa Full Acabados Por Parcela,"Calle 1a N  1 W A 34, Piedecuesta, Santander",230000000 pesos,"['130 m² cubiertos', '5 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Cabecera Del Llano,"Cabecera Del Llano, Bucaramanga, Santander",350000000 pesos,"['96 m² cubiertos', '1 hab.']"
Local en venta,Locales En Venta Canaveral 815-2267,"Canaveral, Floridablanca, Santander",1689143814 pesos,['157 m² cubiertos']
